iter	RMSE
264	0.1817648407
265	0.1805502857
266	0.1790877997
267	0.1776093476
268	0.1762915165
269	0.1751197646
270	0.1738689758
271	0.1726083331
272	0.1715996244
273	0.1704733814
274	0.1694545901
275	0.1681445872
276	0.1671951232
277	0.1661608182
278	0.1653266453
279	0.1643815268
280	0.1633125204
281	0.1623159195
282	0.1613175616
283	0.1600685125
284	0.1590683812
285	0.1578477428
286	0.1566714397
287	0.1554805712
288	0.1544416542
289	0.1533648183
290	0.1522903046
291	0.1512480044
292	0.1501126955
293	0.1491054028
294	0.1479700569
295	0.1468204896
296	0.1459653494
297	0.1449130042
298	0.1438538382
299	0.1427719564
300	0.1417780052
301	0.1411289717
302	0.1402391088
303	0.1393134981
304	0.1385608192
305	0.1377370431
306	0.1368016966
307	0.1361417482
308	0.1353137822
309	0.1343487707
310	0.1334982294
311	0.1325170898
312	0.1316884037
313	0.1307727212
314	0.1300558612
315	0.1292649494
316	0.1284513097
317	0.1276722415
318	0.1267490462
319	0.1257994411
320	0.1250470209
321	0.1242999408
322	0.1234729747
323	0.1226945002
324	0.1219875688
325	0.1212978491
326	0.1204901469
327	0.1197130023
328	0.1189492267
329	0.1182067589
330	0.1174790208
331	0.1168283889
332	0.1161321131
333	0.1153390649
334	0.1146604364
335	0.1141206613
336	0.1134359442
337	0.1126902158
338	0.1120190937
339	0.1113051306
340	0.110636845
341	0.1101307653
342	0.1093842336
343	0.1086907293
344	0.1080347263
345	0.1073972571
346	0.1066982428
347	0.1060661052
348	0.1053732479
349	0.1047620913
350	0.1040726557
351	0.1033808208
352	0.1027298644
353	0.1023102176
354	0.1017202782
355	0.1010266693
356	0.1005312423
357	0.09980161788
358	0.09930922965
359	0.09872936141
360	0.09803256122
361	0.09756306394
362	0.09688431738
363	0.0962706136
364	0.09558216191
365	0.09497153101
366	0.09436246793
367	0.09377692406
368	0.09325872539
369	0.09274627566
370	0.09211864055
371	0.09158966266
372	0.09099002315
373	0.09043014366
374	0.08978761363
375	0.08923154313
376	0.08868687783
377	0.08813322024
378	0.08758165943
379	0.08710376832
380	0.08653419991
381	0.08604741259
382	0.08552698595
383	0.08502504502
384	0.08451657559
385	0.08395370915
386	0.08337328692
387	0.0828609746
388	0.08235780881
389	0.08184795418
390	0.08154338548
391	0.0809480072
392	0.08040816573
393	0.07990830749
394	0.07941894162
395	0.07894608647
396	0.07847472549
397	0.07795761661
398	0.07767340469
399	0.07726721446
400	0.07681130343
401	0.07644628327
402	0.07600369542
403	0.07572445137
404	0.07529316041
405	0.07501882499
406	0.07464812031
407	0.0741473566
408	0.07368766968
409	0.07318390487
410	0.07274854404
411	0.0723329245
412	0.07194813692
413	0.07142987683
414	0.07102645462
415	0.07062014162
416	0.07015750731
417	0.06971244317
418	0.0692611416
419	0.06881655042
420	0.06849144187
421	0.06817251847
422	0.06779994487
423	0.0673885208
424	0.06708119681
425	0.06672229561
426	0.06635063154
427	0.06581143392
428	0.06551012241
429	0.06528196593
430	0.06490718675
431	0.0645642596
432	0.06423663174
433	0.06389329966
434	0.06358204587
435	0.06315971588
436	0.06282406594
437	0.06245271209
438	0.06210999607
439	0.06179254489
440	0.06150912744
441	0.06125156185
442	0.06092748142
443	0.06069475299
444	0.06041126955
445	0.06013057068
446	0.05984984253
447	0.05949280748
448	0.0592240806
449	0.05883299484
450	0.05858812731
451	0.05826692483
452	0.05795825449
453	0.05757701739
454	0.05726364631
455	0.05702601176
456	0.05676833817
457	0.05641937023
458	0.05609047483
459	0.05587903314
460	0.05556601675
461	0.05533671132
462	0.05501597173
463	0.05474065156
464	0.05455012114
465	0.05420641999
466	0.05388854647
467	0.0535185524
468	0.05328842379
469	0.05307093608
470	0.05278817246
471	0.0525722928
472	0.05226764064
473	0.05203016605
474	0.05177376782
475	0.0514428147
476	0.05111139571
477	0.05082084377
478	0.05057754264
479	0.050338177
480	0.05012691192
481	0.04987907094
482	0.04963614641
483	0.04943131066
484	0.04918447601
485	0.04899426234
486	0.04866180679
487	0.04849337857
488	0.04822184135
489	0.04795283695
490	0.04775484367
491	0.04753494152
492	0.04728110469
493	0.04705039384
494	0.04686906543
495	0.04668960899
496	0.04649532094
497	0.04624528707
498	0.04604789441
499	0.04585260649
500	0.04556000722
501	0.04537304415
502	0.04521973362
503	0.04499750438
504	0.04481006035
505	0.04465702979
506	0.04442050265
507	0.0441882114
508	0.04400746116
509	0.04377600799
510	0.04360050531
511	0.04337048411
512	0.04314889699
513	0.04292544172
514	0.04269002879
515	0.04251044365
516	0.04236819803
517	0.0421156995
518	0.04195357311
519	0.04174403986
520	0.04160505486
521	0.04143632669
522	0.04122254337
523	0.04098845778
524	0.04072890094
525	0.04055944087
526	0.04032637463
527	0.04007228421
528	0.03990971265
529	0.03970491005
530	0.0394440703
531	0.0392213961
532	0.03902101908
533	0.03885939429
534	0.03866127311
535	0.03843824799
536	0.038279583
537	0.03812945393
538	0.03791286524
539	0.03776269126
540	0.03754893217
541	0.03736559435
542	0.03715634783
543	0.03700985272
544	0.03684419961
545	0.03663856039
546	0.03643455899
547	0.03625436353
548	0.03610307755
549	0.03595692006
550	0.0358088465
551	0.03561005965
552	0.03541285732
553	0.03523848986
554	0.03509367946
555	0.03490979341
556	0.03471721774
557	0.03454712867
558	0.03434994098
559	0.03418226735
560	0.03397699433
561	0.03378387674
562	0.03357480939
563	0.03337024082
564	0.03319049551
565	0.03298875003
566	0.03280204613
567	0.03260610286
568	0.03240933939
569	0.03231475464
570	0.03214005127
571	0.03204655996
572	0.03195363374
573	0.03186128447
574	0.03176950238
575	0.03159622483
576	0.031478699
577	0.03138598268
578	0.0312938039
579	0.03120219499
580	0.03099814877
581	0.03088399772
582	0.03079408831
583	0.03068136871
584	0.03058667494
585	0.03038880081
586	0.03030108101
587	0.0302081601
588	0.03001348623
589	0.02991830069
590	0.02972455533
591	0.02963059123
592	0.02953729941
593	0.02939331479
594	0.02929573159
595	0.02919887878
596	0.02910275152
597	0.02900734497
598	0.02891265436
599	0.02881867492
